Layer 1,Layer 2,Layer 3,R2,MAE
4,6,9,0.71896,0.14139
4,6,10,0.75846,0.1382
4,7,0,0.65151,0.1683
4,7,1,0.37609,0.25704
4,7,2,-6E-05,0.53468
4,7,3,0.74953,0.12345
4,7,4,0.74258,0.15561
4,7,5,0.76331,0.11747
4,7,6,0.7423,0.12753
4,7,7,0.66628,0.14948
4,7,8,0.76626,0.12134
4,7,9,0.76043,0.1199
4,7,10,0.7633,0.1304
4,8,0,0.70993,0.1419
4,8,1,0.79099,0.12312
4,8,2,0.72278,0.15347
4,8,3,0.70827,0.14899
4,8,4,0.74521,0.14127
4,8,5,0.73176,0.144
4,8,6,0.73513,0.1462
4,8,7,0.73434,0.13658
4,8,8,0.68472,0.15022
4,8,9,0.76668,0.11095
4,8,10,0.76914,0.12162
4,9,0,0.72331,0.13988
4,9,1,0.72574,0.1407
4,9,2,0.78738,0.11432
4,9,3,0.72978,0.15794
4,9,4,0.76195,0.1349
4,9,5,0.76834,0.13057
4,9,6,0.70868,0.15581
4,9,7,0.74325,0.13442
4,9,8,0.76666,0.12307
4,9,9,0.7528,0.1476
4,9,10,0.70289,0.14859
4,10,0,0.78236,0.1085
4,10,1,0.78155,0.12087
4,10,2,0.75168,0.12647
4,10,3,0.79031,0.12299
4,10,4,0.73347,0.13814
4,10,5,0.73169,0.13309
4,10,6,0.78245,0.12711
4,10,7,0.78248,0.13162
4,10,8,0.7879,0.12435
4,10,9,0.71955,0.15597
4,10,10,0.76057,0.13229
4,11,0,0.7637,0.11756
4,11,1,0.70737,0.14442
4,11,2,0.70291,0.14968
4,11,3,0.75811,0.12155
4,11,4,0.78115,0.1236
4,11,5,0.74881,0.12043
4,11,6,0.7859,0.11947
4,11,7,0.76709,0.12295
4,11,8,0.77612,0.14389
4,11,9,0.73654,0.15523
4,11,10,0.7266,0.12407
4,12,0,0.75006,0.13222
4,12,1,0.67629,0.14935
4,12,2,0.80301,0.10878
4,12,3,0.78278,0.12799
4,12,4,-7E-05,0.53461
